id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL,source_file,combined_timestamp
1,"Colleagues can now book their free flu vaccine. The vaccine helps protect you, your loved ones, and our patients from the flu. Simply search 'Flu' on UHL Connect to book your appointment and get protected. https://t.co/OBwkzON1Lg",https://x.com/Leic_hospital/status/1852294263695909358,tweet,Leicester's Hospitals,@Leic_hospital,"Leicester, England",,,0,0,0,1,27,0,2024-11-01 03:19:01,https://pbs.twimg.com/media/GbSr0QKXkAA_8hs.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
2,@bradleyaousley @TwiddleeeeDee @ElieNYC Then how is it a vaccine? The flu vaccine has an inert virus that causes your body to “know” the virus and attack it. So covid didn’t have that so how is it a vaccine?,https://x.com/MGS829/status/1852293127106625892,tweet,MGJS,@MGS829,,"@bradleyaousley,@TwiddleeeeDee,@ElieNYC",,0,0,0,0,2,0,2024-11-01 03:14:30,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
3,"@FoxNews Can she pledge a bill to retract vaccine mandates for medical facilities receiving federal funding ? That’s how they forced Covid and flu vaccine mandates. No, flue vaccine is not a recommendation, it is mandated",https://x.com/Rox1054/status/1852292070821511363,tweet,Rox,@Rox1054,,@FoxNews,,0,0,0,0,2,0,2024-11-01 03:10:18,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
4,"This article talks to a long-covid patient who has been helped by a specialist in NL. She had crashes after catching colds, for which the specialist recommended the flu vaccine. Yup, not an FFP2 mask but a flu vaccine to protect against rhinoviruses.

https://t.co/yI0dMESjwr",https://x.com/DrElbourne/status/1852290511412896155,tweet,Adam Elbourne,@DrElbourne,,,,1,0,1,3,74,0,2024-11-01 03:04:06,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
5,"Flu season is here, and protecting our community through vaccination is more important than ever. Join us for a public flu vaccine clinic at York Hospital on Saturday, Nov. 9, 2024, from 1-5 p.m. Advance registration is required. Visit https://t.co/RqptsTMY53 for details. https://t.co/hGlgJu97x8",https://x.com/YorkHospital/status/1852289770841399746,tweet,York Hospital,@YorkHospital,"York, Maine",,,0,0,0,0,2,0,2024-11-01 03:01:09,https://pbs.twimg.com/media/GbSnuw0XIAAK13o.jpg,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
6,"In the UK, the flu vaccine is now available. 

Eligible people are recommended to get their flu vaccine in the autumn or early winter before outbreaks begin. 

It takes up to two weeks after vaccination for protection to develop.

https://t.co/ZJS5k5ZabT",https://x.com/OxfordVacGroup/status/1852289530205725162,tweet,Oxford Vaccine Group,@OxfordVacGroup,University of Oxford,,,0,0,1,3,179,0,2024-11-01 03:00:12,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
7,"@toobaffled Flu vaccine for children linked to pneumonia risk for their relatives
https://t.co/vtE3T6iCfq.",https://x.com/RoyTyrrell1/status/1852287372068598032,tweet,Al'ard Roi Tirrand,@RoyTyrrell1,Ubuntu,@toobaffled,,0,0,0,0,6,0,2024-11-01 02:51:37,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
8,"@Skepticmindd @BGatesIsaPyscho Ask your trusted government who are in Maxwell black book, see the response or lack of that you wont get back, as everyone advocating this vaccine will appear in that book,amazing not one single person presidents, PMs Royalty etc never advocated a flu vaccine that killed millions",https://x.com/paulbrown481954/status/1852286450403770769,tweet,paul brown,@paulbrown481954,Norfolk,"@Skepticmindd,@BGatesIsaPyscho",,0,0,0,0,3,0,2024-11-01 02:47:58,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
9,@EpiEllie Each of those are largely eradicated.  Why does the Covid and flu vaccine not do the same?,https://x.com/Henrymedia105/status/1852278327332999269,tweet,SageWiseGuy,@Henrymedia105,US,@EpiEllie,,0,0,0,0,3,0,2024-11-01 02:15:41,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
10,"@Fair_and_Biased @KamalaHQ Avoid all mRNA in future.
Novavax, non-mRNA, like traditional flu vaccine, is better than mRNA.  
Novavax has less side effects, lasts longer.  Majority of people who had mRNA side effects had none with Novavax.
https://t.co/1lxrddlYV7",https://x.com/Tim_Jamesc/status/1852277828819030338,tweet,Tim,@Tim_Jamesc,,"@Fair_and_Biased,@KamalaHQ",,0,0,0,1,27,0,2024-11-01 02:13:42,,,TwiBot-undefined-20241101_032541.csv,2024-11-01 16:35:38.823617
