id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1585830489818279938,Suhsiiii~ 🍣 #yumm #Koreatrip #caughtflu #sigh #healingtime #thenmoreexploring ## https://t.co/0dFaCG8VCx,https://x.com/yevliii/status/1585830489818279938,tweet,Yevli,@yevliii,,,"#yumm,#Koreatrip,#caughtflu,#sigh,#healingtime,#thenmoreexploring",0,0,0,6,-,0,2022-10-27 20:07:06,"https://pbs.twimg.com/media/FgIAaCBaMAA_Fi4.jpg,https://pbs.twimg.com/media/FgIAaCEaEAA5nAW.jpg",
761268519937777664,Sniff. I might be sick? #Finish #caughtflu https://t.co/UMgncaSUhR https://t.co/f5Q5QY1Uil,https://x.com/theannakpayne/status/761268519937777664,tweet,Anna K Payne,@theannakpayne,Southern California,,"#Finish,#caughtflu",0,0,0,0,-,0,2016-08-04 11:32:13,,
761268060313493505,Sniff. I might be sick? #Finish #caughtflu https://t.co/xf3bpM6zQy https://t.co/YIEzxoQYkn,https://x.com/theannakpayne/status/761268060313493505,tweet,Anna K Payne,@theannakpayne,Southern California,,"#Finish,#caughtflu",0,0,0,0,-,0,2016-08-04 11:30:23,https://pbs.twimg.com/media/CpCRRAPWEAA0cOo.jpg,
719577400443449344,"Dear twitter

Good night. Down with the flu huhu
#caughtflu
#Inthemiddleoftheday",https://x.com/mariaul92/status/719577400443449344,tweet,SepTKid,@mariaul92,,,"#caughtflu,#Inthemiddleoftheday",0,0,0,0,-,0,2016-04-11 10:26:36,,
500385621341667328,#waternomination #friends #freezing #fun #offourheads #neveragain #caughtflu http://t.co/vDkTZXQdeB,https://x.com/natnoonan11/status/500385621341667328,tweet,natasha noonan,@natnoonan11,"cork, ireland",,"#waternomination,#friends,#freezing,#fun,#offourheads,#neveragain,#caughtflu",0,0,0,0,-,0,2014-08-15 13:56:43,,
422786657407229952,Seriously. Can't be arsed. #caughtflu,https://x.com/StephDonald2020/status/422786657407229952,tweet,Steph Donald,@StephDonald2020,"Liverpool, England",,#caughtflu,1,0,0,0,-,0,2014-01-13 09:46:08,,
390531709189386240,#CaughtFlu Hope helps http://t.co/LpYDzwot3G,https://x.com/Mical_Est199X/status/390531709189386240,tweet,BIG Mike,@Mical_Est199X,,,#CaughtFlu,0,0,0,0,-,0,2013-10-16 10:36:29,https://pbs.twimg.com/media/BWtyhTFCYAAxgPX.jpg,
286830180654280705,Really feeling too ill #caughtflu #wannacryandsleepallday #shouldhavecalledinsick,https://x.com/jujumarierv/status/286830180654280705,tweet,HeyIt'sJ,@jujumarierv,England,,"#caughtflu,#wannacryandsleepallday,#shouldhavecalledinsick",0,0,0,0,-,0,2013-01-03 05:43:38,,
9064580500164608,Feels so hard to open my eyes... Day 3 #CaughtFlu,https://x.com/dinaramiano/status/9064580500164608,tweet,Dina Ramiano,@dinaramiano,Jakarta,,#CaughtFlu,0,0,0,0,-,0,2010-11-28 18:02:19,,
6721897978925056,*hatchoo pardon me! #caughtflu,https://x.com/quixotes/status/6721897978925056,tweet,TxtfromBengkulu,@quixotes,Theatre of Dream,,#caughtflu,0,0,0,0,-,0,2010-11-22 06:53:20,,
17015982979,Sroooot srooosoot sroot ☹ #caughtflu,https://x.com/sekiro1828/status/17015982979,tweet,Soulsborne28,@sekiro1828,"ÜT: -6.23174,106.906801",,#caughtflu,0,0,0,0,-,0,2010-06-25 07:01:59,,
17009072940,Haaadeh ni sungi knp meler mulu ya ƪ(‾ε‾“)ʃ #caughtflu,https://x.com/sekiro1828/status/17009072940,tweet,Soulsborne28,@sekiro1828,"ÜT: -6.23174,106.906801",,#caughtflu,0,0,0,0,-,0,2010-06-25 05:13:24,,
