id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1837122149309370577,"Do you experience chills during fever?

Know if it can be dangerous for you - 

https://t.co/nMU57Pan3u 

 #FeverChills #HealthTips #WellnessWednesday",https://x.com/ThipMedia/status/1837122149309370577,tweet,The Healthy Indian Project,@ThipMedia,India,,"#FeverChills,#HealthTips,#WellnessWednesday",0,0,0,0,10,0,2024-09-20 06:30:27,,
1778009379452702877,"Explore the various signs and symptoms of appendicitis in detail:
1. Abdominal Pain
2. Loss of Appetite
3. Fever and Chills
4. Abdominal Tenderness
5. Swelling and Bloating

Know in Details: https://t.co/F7I3ktQR4s

#appendicitissigns #abdominalpain #lossofappetite #feverchills https://t.co/aqOnrHIMqB",https://x.com/lifesciencesmag/status/1778009379452702877,tweet,The Lifesciences Magazine,@lifesciencesmag,United States,,"#appendicitissigns,#abdominalpain,#lossofappetite,#feverchills",0,0,0,0,17,0,2024-04-10 03:37:24,"https://pbs.twimg.com/media/GKy_edyWMAErGWt.jpg,https://pbs.twimg.com/media/GKy_edzWcAAAA3N.jpg,https://pbs.twimg.com/media/GKy_edzXgAAb4wD.jpg,https://pbs.twimg.com/media/GKy_ed1WYAAmyOR.jpg",
1478030846133252102,Shall we watch a movie or show prior to streaming later? Join the discord and lets have a watch party #cozyday! #feverchills https://t.co/ZNwqiJnbkL,https://x.com/CrankyPixie/status/1478030846133252102,tweet,CrankyPixie,@CrankyPixie,,,"#cozyday,#feverchills",0,0,0,0,-,0,2022-01-03 07:49:48,https://pbs.twimg.com/media/FIMFOHfX0AANJW1.jpg,
1240433859344269312,@pamelam35 @CBSNews @incarceratedbob that’s a lot of layers for spring break. #feverchills 🥶,https://x.com/finkitallright/status/1240433859344269312,tweet,fink ☮️,@finkitallright,"Lake Tahoe, NV ","@pamelam35,@CBSNews,@incarceratedbob",#feverchills,0,0,0,0,-,0,2020-03-18 17:24:12,,
1207988770215215104,"#ColdAndFluAwareness #ColdFlu #Congestion #FeverChills #RunnyNose

Experiencing Stuffy Nose &amp; Congestion? These May be the Symptoms of Cold or Flu. Get Treated. https://t.co/4TThes07VW",https://x.com/KailashHealth/status/1207988770215215104,tweet,Kailash Hospital,@KailashHealth,India,,"#ColdAndFluAwareness,#ColdFlu,#Congestion,#FeverChills,#RunnyNose",0,0,3,5,-,0,2019-12-20 03:39:00,https://pbs.twimg.com/media/EMOjXsiX0AEcgXW.jpg,
1190404929325801473,Strep throat. Yay. #allthesarcasm #strepsucks #sick #feverchills,https://x.com/thecaradee/status/1190404929325801473,tweet,Cara Dee,@thecaradee,"Frederick, MD",,"#allthesarcasm,#strepsucks,#sick,#feverchills",0,0,0,0,-,0,2019-11-01 16:07:06,,
1176355775402237952,#Accutepyelonephritis #ascension #feverchills #dysuria #microbiology #management #medical #who #medicalassistant #medicalstudent #medicalmedium #medicalschool #medicalscience #medicalstudentlife… https://t.co/nX2LcXwGgb,https://x.com/RakibTurk/status/1176355775402237952,tweet,Dr. Rakib Ali Turk,@RakibTurk,"Roorkee, India",,"#Accutepyelonephritis,#ascension,#feverchills,#dysuria,#microbiology,#management,#medical,#who,#medicalassistant,#medicalstudent,#medicalmedium,#medicalschool,#medicalscience,#medicalstudentlife",0,0,0,0,-,0,2019-09-23 21:40:47,,
1072285140389265408,"cheez-it’s and ginger ale can cure anything, right? #feverchills #dead",https://x.com/jhook/status/1072285140389265408,tweet,jk♡︎,@jhook,"Napa, CA",,"#feverchills,#dead",0,0,0,1,-,0,2018-12-10 16:21:14,,
1042000799562379269,"#ColdAndFluAwareness #ColdFlu  #Congestion #FeverChills #RunnyNose

Experiencing Stuffy Nose &amp; Congestion? These May be the Symptoms of Cold or Flu. Get Treated. https://t.co/e0sHe4HCo4",https://x.com/KailashHealth/status/1042000799562379269,tweet,Kailash Hospital,@KailashHealth,India,,"#ColdAndFluAwareness,#ColdFlu,#Congestion,#FeverChills,#RunnyNose",0,0,6,6,-,0,2018-09-18 03:42:04,https://pbs.twimg.com/media/DnXuMMrXoAAEtdt.jpg,
944503338015457280,When you have 40C fever and youre driving alone #downwiththeflu #feverchills 😷,https://x.com/yojtastic/status/944503338015457280,tweet,YJ☄,@yojtastic,,,"#downwiththeflu,#feverchills",0,0,0,1,-,0,2017-12-23 01:41:58,,
896886231283388416,"When we travel, I am often the only one to get sick. #feverchills",https://x.com/gincase/status/896886231283388416,tweet,Ginny Brideau,@gincase,"Los Angeles, CA",,#feverchills,0,0,0,0,-,0,2017-08-13 17:08:35,,
859480692379594752,When you're a nanny/pca so you have to fake NOT sick so you still get that paycheck #imdying #feverchills #dontlookatme,https://x.com/lizzieg426/status/859480692379594752,tweet,Liz Golden,@lizzieg426,"Minnesota, USA",,"#imdying,#feverchills,#dontlookatme",0,0,0,0,-,0,2017-05-02 11:52:20,,
831956090489282560,Nothing says fashion quite like a sweater with a house coat over top. #feverchills #trackpants,https://x.com/NinjaBean86/status/831956090489282560,tweet,Holly,@NinjaBean86,,,"#feverchills,#trackpants",0,0,0,0,-,0,2017-02-15 11:59:23,,
830559483029966848,Just awoke on this beautiful day. I missed out!! Can't help it tho. #feverchills,https://x.com/kimguth3/status/830559483029966848,tweet,"Kim Guthrie, M.Ed.",@kimguth3,United States,,#feverchills,0,0,0,2,-,0,2017-02-11 15:29:46,,
793951563966353408,@Mega_Tron6 More like ANTARCTICA for me. #FeverChills,https://x.com/JMReisman/status/793951563966353408,tweet,Justine Reisman,@JMReisman,"Minnesota, USA",,#FeverChills,1,0,0,0,-,0,2016-11-02 16:02:58,,
723653410428358656,Got that antibiotic just in time. #feverchills,https://x.com/jmnance/status/723653410428358656,tweet,Jeanette Nance,@jmnance,Oklahoma City,,#feverchills,1,0,0,0,-,0,2016-04-22 16:23:12,,
679708040153665536,"I've got the Flu, badly 😩 #flu #feverchills #hightemp 2 days before Christmas, brilliant!",https://x.com/RosieLeeTaylor/status/679708040153665536,tweet,Rosie,@RosieLeeTaylor,,,"#flu,#feverchills,#hightemp",0,0,0,0,-,0,2015-12-23 08:59:59,,
673579763970269184,"Not going to work today,I'm way too sick #feverchills",https://x.com/gloriadrew17/status/673579763970269184,tweet,gigi,@gloriadrew17,,,#feverchills,0,0,0,0,-,0,2015-12-06 11:08:24,,
671734103746605057,Home with #FeverChills. 🤕🍷 #Sick #ButWineIsLife #Wine #Wineo #MommyJustWantsToSleep… https://t.co/WKp9gWMpgl,https://x.com/MaiDashLee/status/671734103746605057,tweet,MaiDashLee,@MaiDashLee,"Hialeah, FL",,"#FeverChills,#Sick,#ButWineIsLife,#Wine,#Wineo,#MommyJustWantsToSleep",0,0,0,0,-,0,2015-12-01 08:54:25,,
661616043547193344,I hate being #sick. My body can't figure out if I'm hot or cold. #FML #feverchills,https://x.com/Mrs__Eff/status/661616043547193344,tweet,Mrs Eff,@Mrs__Eff,,,"#sick,#FML,#feverchills",0,0,0,0,-,0,2015-11-03 10:48:51,,
641707507002572801,"Xtrm heat, humidity &amp; cold (#AC): current situation! #sorethroat #feverchills when it's 90+F outside. This isn't #madness, this is #NYC!",https://x.com/ThePriyaIssac/status/641707507002572801,tweet,Priya Issac,@ThePriyaIssac,"New York, NY",,"#AC,#sorethroat,#feverchills,#madness,#NYC",0,0,0,0,-,0,2015-09-09 13:19:26,,
629709179675021312,I'm deliriously sick. It ain't even hot to me I'm out here in sweatpants and hoodie #feverchills,https://x.com/tuttipooh/status/629709179675021312,tweet,king friday,@tuttipooh,🏁,,#feverchills,0,0,0,0,-,0,2015-08-07 10:42:22,,
606821169510154240,"Rethinking my ""Yes"" to wearing shorts today. #feverchills http://t.co/H2bZz8Wqmw http://t.co/7hWvcqbGG2",https://x.com/CandaceBaker/status/606821169510154240,tweet,Candace Baker,@CandaceBaker,,,#feverchills,0,0,0,0,-,0,2015-06-05 06:53:35,https://pbs.twimg.com/media/CGvco3fWgAAvGuQ.jpg,
595178196506701825,Right body...you're either running a temp or freezing cold. Make up your mind damnit! #feverchills #poorlyblogger,https://x.com/SuperBusyMum/status/595178196506701825,tweet,Deborah,@SuperBusyMum,"Belfast, Northern Ireland",,"#feverchills,#poorlyblogger",0,0,0,0,-,0,2015-05-04 03:48:34,,
593126946663440384,I would battle an army of minotaurs if it meant I could take a bath right now. #feverchills #dormlifesucks,https://x.com/HeyyitsShayy/status/593126946663440384,tweet,manic pixie dream GERD,@HeyyitsShayy,"Washington, DC",,"#feverchills,#dormlifesucks",0,0,0,0,-,0,2015-04-28 11:57:38,,
590242787720855552,I'm the only person on campus wearing pants and a hoodie rn #feverchills,https://x.com/CeddySaid_/status/590242787720855552,tweet,Cedric Ndaw,@CeddySaid_,,,#feverchills,0,0,0,0,-,0,2015-04-20 12:57:01,,
560952037131948032,"So tired and sick. I just wanna crawl under my blankets and fall asleep :,(
#sick #whyme #ihatethis #feverchills #needsleep",https://x.com/hello_sparkles/status/560952037131948032,tweet,ᑕᕼᖇIᔕTIᑎᗩ✌︎︎,@hello_sparkles,"Norfolk, VA",,"#sick,#whyme,#ihatethis,#feverchills,#needsleep",0,0,0,0,-,0,2015-01-29 16:06:02,,
