id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1851007801679560848,"Boa noite, galera! ST 🇮🇹 

- Serna pode retornar ainda este ano. 
- Thiago Silva contra o Grêmio.
- Parcial divulgada 

Confira tudo 👇👇

https://t.co/kiqRMTb9V8

#fluminense #nense #flu #futebolbrasileiro",https://x.com/flunamarca/status/1851007801679560848,tweet,Flu na Marca,@flunamarca,Rio de Janeiro,,"#fluminense,#nense,#flu,#futebolbrasileiro",0,0,0,0,3,0,2024-10-28 14:07:04,,
1851005873109213215,"¿Por qué es buena idea suplementar con #VitaminaD ya mismo? 
#SaludParaTodos #Flu #Resfriados #SaludHispana #Vivemejor #gripe 

https://t.co/PNxBKY8XYO",https://x.com/vivemejororg/status/1851005873109213215,tweet,vivemejor.org,@vivemejororg,"Atlanta, Georgia",,"#VitaminaD,#SaludParaTodos,#Flu,#Resfriados,#SaludHispana,#Vivemejor,#gripe",0,0,0,1,2,0,2024-10-28 13:59:24,,
1850997450703560816,"Vamos ir rpz 

#flu",https://x.com/henriquedrxbfr/status/1850997450703560816,tweet,botafoguense pedrao,@henriquedrxbfr,"Duque de Caxias, Brasil",,#flu,0,0,0,0,13,0,2024-10-28 13:25:56,,
1850996782920065068,Update: I've got Influence typeA. I'm 101.8 temp. I've gone down to 99. I was 2 seconds from spending the night in the hospital. I'm been sent home on bed rest till Friday or Monday. This sux! I'm so sick 😫 #MondayMotivaton #sick #flu,https://x.com/HeatherDodd6/status/1850996782920065068,tweet,Heather & Cpt.Mailyn & Lt.Myla 3/20/23🌈,@HeatherDodd6,"LaPorte TX, USA",,"#MondayMotivaton,#sick,#flu",4,1,0,16,115,0,2024-10-28 13:23:17,,
1850993942462173268,Do you use these 8 healthy habits to limit your risk for respiratory illnesses? #RSV #Flu #Covid19 https://t.co/SfTz7TrTzZ,https://x.com/NewarkDHCW/status/1850993942462173268,tweet,Newark DHCW,@NewarkDHCW,"110 William Street, Newark, NJ 07102",,"#RSV,#Flu,#Covid19",0,0,0,0,5,0,2024-10-28 13:12:00,https://pbs.twimg.com/media/GZEmKgEWQAAGjcY.jpg,
1850991309437251690,"#Flu season is upon us, which means it's the perfect time to learn #prevention strategies. Chief Medical Officer Carrie Horn, MD, provides three tips to help you navigate this season so you can protect yourself and others. #fluseason #fluprevention #flushot #vaccine https://t.co/xRDyncGTSJ",https://x.com/NJHealth/status/1850991309437251690,tweet,National Jewish Health,@NJHealth,"Denver, Colorado",,"#Flu,#prevention,#fluseason,#fluprevention,#flushot,#vaccine",0,0,0,0,29,0,2024-10-28 13:01:32,https://pbs.twimg.com/ext_tw_video_thumb/1850991257297776640/pu/img/kw1VPhp3xU3Zj_ji.jpg,https://video.twimg.com/ext_tw_video/1850991257297776640/pu/vid/avc1/720x1280/mDCXUeZ1OlCXeH0-.mp4?tag=12
1850987487549673538,"Have you seen the flu train, #Chicago? We’re spreading the message that a #flu vaccine can take flu from wild to mild with #ChicagoTransitAuthority. Get your flu vaccine by the end of this month for the best protection. Learn more at https://t.co/bULJ3Lzo0b and #FightFlu https://t.co/uDXgitUnhP",https://x.com/CDCFlu/status/1850987487549673538,tweet,CDC Flu,@CDCFlu,"Atlanta, GA",,"#Chicago,#flu,#ChicagoTransitAuthority,#FightFlu",0,0,0,3,922,0,2024-10-28 12:46:21,https://pbs.twimg.com/media/GbAHSswW8AAQtZA.jpg,https://video.twimg.com/amplify_video/1850987402023579648/vid/avc1/720x720/d58I0K3FRutOztZh.mp4?tag=14
1850984910384779312,"Getting an annual flu #vaccine is the best way to protect yourself and your family from the flu’s spookiest of symptoms. In many cases, it can even prevent the #flu altogether. Don’t get spooked by the flu! Schedule your #flushot today! 👻🦇🌕 https://t.co/i8a026waAM",https://x.com/VCUHealth/status/1850984910384779312,tweet,VCU Health,@VCUHealth,"Richmond, Virginia",,"#vaccine,#flu,#flushot",0,0,1,0,82,0,2024-10-28 12:36:06,https://pbs.twimg.com/media/GbAE8z3WoAE29V6.jpg,
1850983624658878679,"#Escambia 🚸 Children, seniors, and those with chronic health conditions are at higher risk for #flu complications. Get vaccinated to stay protected. #FluVaccine #EscambiaHealth https://t.co/4oxQrozf3P https://t.co/bmQyS8FJN9",https://x.com/HealthyEscambia/status/1850983624658878679,tweet,FL Health Escambia,@HealthyEscambia,"Pensacola, FL",,"#Escambia,#flu,#FluVaccine,#EscambiaHealth",0,0,0,0,8,0,2024-10-28 12:31:00,https://pbs.twimg.com/media/GXI3b-VXoAAZzor.jpg,
1850979117698633733,#HCPs: The 2023-24 flu season was moderately severe and flu activity began to increase in November. Providers & patients should consider the possibility of influenza as a cause of respiratory illness in early fall and recommend #flu vaccination. Learn more: https://t.co/zqIeNNM2q6,https://x.com/CDCFlu/status/1850979117698633733,tweet,CDC Flu,@CDCFlu,"Atlanta, GA",,"#HCPs,#flu",0,0,4,12,1005,1,2024-10-28 12:13:05,https://pbs.twimg.com/media/Ga__rm-WkAAhaGy.jpg,
