id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1840319541198422244,"புளூ தடுப்பூசி அவசியம்!
#FluFever| #vaccine| #DoctorsAdvice| #Cold
https://t.co/y4W3uzOopr https://t.co/QSsBgKx9c1",https://x.com/dinamalarweb/status/1840319541198422244,tweet,Dinamalar,@dinamalarweb,"39, Whites road, Chennai",,"#FluFever,#vaccine,#DoctorsAdvice,#Cold",5,0,2,15,2561,1,2024-09-29 02:15:44,https://pbs.twimg.com/media/GYog3OzWcAA4vUA.jpg,
1759024831788646520,"அச்சுறுத்தும் பறவைக்காய்ச்சல் - தமிழகத்தில் 5 மாவட்டங்களுக்கு அலெர்ட் கொடுத்த பொது சுகாதாரத் துறை

#BirdFlu #flufever #nellore

https://t.co/FWef4Vx2JA",https://x.com/News18TamilNadu/status/1759024831788646520,tweet,News18 Tamil Nadu,@News18TamilNadu,"Chennai, India",,"#BirdFlu,#flufever,#nellore",0,0,2,5,2933,0,2024-02-17 17:19:35,,
1729757267388428535,"இரண்டு விதமான சுகாதார பாதிப்புகளை சமாளிக்கும் வகையில் முக்கியமான ஏற்பாடுகளை கர்நாடகா அரசு முடுக்கி விட்டுள்ளது. 

#China #Virus #FluFever #Karnataka

https://t.co/GfPV00I4WH",https://x.com/SamayamTamil/status/1729757267388428535,tweet,Samayam Tamil,@SamayamTamil,"Chennai, India",,"#China,#Virus,#FluFever,#Karnataka",0,0,0,0,124,0,2023-11-28 23:00:44,,
1729414603246043410,"ஃப்ளூ காய்ச்சல் பரவாமல் தடுப்பதற்கான வழி முறைகள்!

#Health #DoctorVikatan #Flu #FluFever #Fever https://t.co/pF2EIFnBq6",https://x.com/Makkalsevai2/status/1729414603246043410,tweet,Makkalsevai,@Makkalsevai2,"Tiruvannamalai, India",,"#Health,#DoctorVikatan,#Flu,#FluFever,#Fever",0,0,1,4,630,0,2023-11-28 00:19:07,"https://pbs.twimg.com/media/GAAdZpsbAAAnzYk.jpg,https://pbs.twimg.com/media/GAAdaRIbEAAHygm.jpg",
1729399362495590763,"ஃப்ளூ காய்ச்சல் பரவாமல் தடுப்பதற்கான வழி முறைகள்!

#Health #DoctorVikatan #Flu #FluFever #Fever https://t.co/7CYMdecgt1",https://x.com/DoctorVikatan/status/1729399362495590763,tweet,DoctorVikatan,@DoctorVikatan,chennai,,"#Health,#DoctorVikatan,#Flu,#FluFever,#Fever",0,1,49,156,11639,11,2023-11-27 23:18:33,"https://pbs.twimg.com/media/GAAPjEzXgAAl1Zv.jpg,https://pbs.twimg.com/media/GAAPjExWoAAMzFQ.jpg",
1728316719108927520,"ஃபுளு காய்ச்சல் பாதிப்பு தீவிரமடைவதால் பொது இடங்களில் முக கவசம் அணிவது அவசியம்: பொது சுகாதாரத்துறை

#facemask #chennai #flufever #fever #mask #Mnadunews #Mnadu #Mnadutv https://t.co/P6YzJODU63",https://x.com/mnadutv/status/1728316719108927520,tweet,M Nadu Tv,@mnadutv,"Chennai ",,"#facemask,#chennai,#flufever,#fever,#mask,#Mnadunews,#Mnadu,#Mnadutv",0,0,0,0,84,0,2023-11-24 23:36:31,https://pbs.twimg.com/media/F_w24-IXMAE-wmw.jpg,
1727598219553657078,"சீனாவில் பரவி வரும் புதுவகை நிமோனியா காய்ச்சல்- விளக்கம் கேட்கும் உலக சுகாதார அமைப்பு
#china #pneumonia #chinafever #flufever #சீனா #WHO #நிமோனியா
https://t.co/yp4i1faMEn",https://x.com/newsbytestamil/status/1727598219553657078,tweet,NewsBytes Tamil,@newsbytestamil,Gurgaon,,"#china,#pneumonia,#chinafever,#flufever,#சீனா,#WHO,#நிமோனியா",0,0,0,0,194,0,2023-11-23 00:01:27,,
1727566888996081846,"#NewsUpdate | ஃப்ளூ காய்ச்சல் - மாறுபட்ட பேட்டி

#NewsTamil24x7 | #Coimbatore | #FluFever | #Rumours https://t.co/3F9p9SEznj",https://x.com/NewsTamilTV24x7/status/1727566888996081846,tweet,News Tamil 24x7,@NewsTamilTV24x7,"chennai, Tamil nadu",,"#NewsUpdate,#NewsTamil24x7,#Coimbatore,#FluFever,#Rumours",0,1,1,12,705,0,2023-11-22 21:56:57,https://pbs.twimg.com/media/F_mM7D9WYAAfonZ.jpg,
1727538579998449804,"ஃப்ளூ காய்ச்சல் இருக்கா? இல்லையா?.. அரசு மருத்துவ கல்லூரி மருத்துவமனை டீன் பேட்டி

#NewsTamil24x7 | #Flu | #FluFever | #DoctorAdvice | #Coimbatore https://t.co/2QMimRNfWm",https://x.com/NewsTamilTV24x7/status/1727538579998449804,tweet,News Tamil 24x7,@NewsTamilTV24x7,"chennai, Tamil nadu",,"#NewsTamil24x7,#Flu,#FluFever,#DoctorAdvice,#Coimbatore",0,0,0,2,820,0,2023-11-22 20:04:28,https://pbs.twimg.com/ext_tw_video_thumb/1727537625823580160/pu/img/i3ffDbn3Sp_jICma.jpg,https://video.twimg.com/ext_tw_video/1727537625823580160/pu/vid/avc1/720x720/8muCdfvvOepJ9edH.mp4?tag=12
1727226475961872425,"கோவையில் நாளுக்கு நாள் வேகமெடுக்கும் ப்ளூ காய்ச்சல்; முக கவசம் அணிய மாவட்ட ஆட்சியர் அறிவுறுத்தல்

#Coimbatore #FaceMask #FluFever #FluVirus #AsianetNewsTamil

https://t.co/P7van0gOte",https://x.com/AsianetNewsTM/status/1727226475961872425,tweet,Asianetnews Tamil,@AsianetNewsTM,"Chennai, India",,"#Coimbatore,#FaceMask,#FluFever,#FluVirus,#AsianetNewsTamil",0,0,0,3,183,0,2023-11-21 23:24:16,,
