id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1387208804660662285,"@CDC GUIDANCE; “NO masks OUTSIDE!”...REAFFIRMED by MASKED #MarxistLeader “HEIL!!” 

Bottom line? KEEP doing what WE’VE been doing... NOT WEARING A MASK! LMAO!!!
&lt;cough-cough&gt;&lt;sniff&gt;

Glad the #Marxists got it all under CONTROL! #GotFlu?
#StupidAmericans @FoxNews @TuckerCarlson https://t.co/z7cctkyZov",https://x.com/AmericanIndepnt/status/1387208804660662285,tweet,DisgustedAmerican,@AmericanIndepnt,America,"@cdc,@FoxNews,@TuckerCarlson","#MarxistLeader,#Marxists,#GotFlu,#StupidAmericans",0,0,0,0,-,0,2021-04-27 17:55:26,https://pbs.twimg.com/tweet_video_thumb/E0BbDZVXEAQONoe.jpg,https://video.twimg.com/tweet_video/E0BbDZVXEAQONoe.mp4
1343849313957519360,"#GotFlu @Belo Horizonte, Brazil https://t.co/kDKIMKlVYw",https://x.com/goryoinsam/status/1343849313957519360,tweet,Jun Young Kim,@goryoinsam,"São Paulo,Brazil",,#GotFlu,0,0,0,0,-,0,2020-12-29 01:20:18,,
1341454122692841481,Here flu! Come boy! Here flu! #gotflu?,https://x.com/FDOV5/status/1341454122692841481,tweet,FDOV,@FDOV5,,,#gotflu,0,0,0,0,-,0,2020-12-22 10:42:40,,
1341367468233781249,@5BobbyArmstrong @jkwan_md @epdevilla #gotflu?,https://x.com/FDOV5/status/1341367468233781249,tweet,FDOV,@FDOV5,,"@jkwan_md,@epdevilla",#gotflu,0,0,0,0,-,0,2020-12-22 04:58:20,,
1339027025403711493,Effectively what the Global Elite are doing. #GotFlu? #Covid https://t.co/UtwCz99sBM,https://x.com/Mintgecko/status/1339027025403711493,tweet,Golden Fleece,@Mintgecko,Canada,,"#GotFlu,#Covid",0,0,1,5,-,0,2020-12-15 17:58:15,https://pbs.twimg.com/media/EpUtuTIWEAAQoF-.jpg,
1338895726932348928,#GotFlu?,https://x.com/Mintgecko/status/1338895726932348928,tweet,Golden Fleece,@Mintgecko,Canada,,#GotFlu,0,0,0,2,-,0,2020-12-15 09:16:31,,
1333166872691417089,#GotFlu?,https://x.com/Mintgecko/status/1333166872691417089,tweet,Golden Fleece,@Mintgecko,Canada,,#GotFlu,3,0,0,6,-,0,2020-11-29 13:52:06,,
1332919687563325443,"For one, the numbers are far from accurate. Most these deaths were deaths w/Covid, not because of Covid. The 2nd part is according to the WHO, anywhere from 250-500K or 290-650K die each year from the flu. Considering we're in the second season of C19, this is expected. #GotFlu?",https://x.com/Mintgecko/status/1332919687563325443,tweet,Golden Fleece,@Mintgecko,Canada,,#GotFlu,1,0,0,6,-,0,2020-11-28 21:29:52,,
1326195603890692106,#GotFlu?,https://x.com/Mintgecko/status/1326195603890692106,tweet,Golden Fleece,@Mintgecko,Canada,,#GotFlu,0,0,0,1,-,0,2020-11-10 08:10:46,,
1285797908416274433,"If there was ever a place for Covid to show how devastating it really is, it would be India. Guess what, they are getting close to herd immunity and nothing catastrophic has happened. #GotFlu?",https://x.com/Mintgecko/status/1285797908416274433,tweet,Golden Fleece,@Mintgecko,Canada,,#GotFlu,1,0,1,14,-,1,2020-07-21 21:44:44,,
1245079489614360576,"The REME HALO whole home in-duct air purification system works continuously within the conditioned space, both in the air and on surfaces, to help destroy cold and flu viruses before they have the chance to spread. #gotflu? #IM4IAQ #RGFenvironmental #REMEHALO https://t.co/9MIhPtNQM5",https://x.com/rgfenvgroup/status/1245079489614360576,tweet,RGF Environmental Group,@rgfenvgroup,"West Palm Beach, FL",,"#gotflu,#IM4IAQ,#RGFenvironmental,#REMEHALO",1,2,9,9,-,0,2020-03-31 13:04:17,https://pbs.twimg.com/ext_tw_video_thumb/1245079166917189632/pu/img/EOdpsvZQOe0PucOk.jpg,https://video.twimg.com/ext_tw_video/1245079166917189632/pu/vid/1280x720/2O-Ejn0ifMrXlAp1.mp4?tag=10
1234958420534493184,"Angela Solland, Ryan Charles, and Belinda Arnett are at the PBACCA Air Show, the largest air conditioning trade show in South Florida! Stop by booth 217 to say hi and Join the Evolution of Clean Air! #PBACCA #IM4IAQ #gotflu? #RGFenvironmental #REMEHALO #HALOLED #JoinTheEvolution https://t.co/l84BP4ERqG",https://x.com/rgfenvgroup/status/1234958420534493184,tweet,RGF Environmental Group,@rgfenvgroup,"West Palm Beach, FL",,"#PBACCA,#IM4IAQ,#gotflu,#RGFenvironmental,#REMEHALO,#HALOLED,#JoinTheEvolution",0,0,1,1,-,0,2020-03-03 13:46:46,https://pbs.twimg.com/media/ESN0FvJXkAIVYou.jpg,
1234896314745475074,My wonderful mum brought me some homemade chicken soup today. That and her lovely face will help me feel better. #gotflu #manflu #badcold #coronavirus?,https://x.com/philmscribe/status/1234896314745475074,tweet,Phil Clarke,@philmscribe,UK,,"#gotflu,#manflu,#badcold,#coronavirus",1,0,0,8,-,0,2020-03-03 09:39:59,,
1232304375600734208,"We'll be at the #PBACCA Air Show, the largest air conditioning trade show in South Florida, at the Palm Beach Fairgrounds on March 3! Stop by booth 217 to speak with RGF's IAQ experts and #JoinTheEvolution of Clean Air! #IM4IAQ #gotflu? #RGFenvironmental #REMEHALO #HALOLED https://t.co/66nNJKHgED",https://x.com/rgfenvgroup/status/1232304375600734208,tweet,RGF Environmental Group,@rgfenvgroup,"West Palm Beach, FL",,"#PBACCA,#JoinTheEvolution,#IM4IAQ,#gotflu,#RGFenvironmental,#REMEHALO,#HALOLED",0,0,1,0,-,0,2020-02-25 06:00:32,https://pbs.twimg.com/media/ERoGTEFWAAMaTq5.jpg,
1221105072958058496,"Quando hai l'influenza, ma anche i migliori infermieri del mondo! 😍
When you got flu but you have the best nurses ever! 😻

#flu #gotflu #bronchitis #flutime #fluseason #influenza #bronchite  #gattidappertutto… https://t.co/rj5uaMbepP",https://x.com/AnnaLisaDistani/status/1221105072958058496,tweet,TheOriginalBlackCat,@AnnaLisaDistani,"Lecco, Lombardy",,"#flu,#gotflu,#bronchitis,#flutime,#fluseason,#influenza,#bronchite,#gattidappertutto",0,0,0,0,-,0,2020-01-25 08:18:31,,
1218367890019229696,"Flu + 100° temp calls for homemade chicken soup...
#gotflu
#tylenolandmotrintango
#beingsickisnofun
#chickennoodlesoup
#flu
#4hourslater⌛️ #mmmmmmmgood
https://t.co/FNOR3Ck8y4",https://x.com/nicvlcek/status/1218367890019229696,tweet,Nic Vlcek,@nicvlcek,Texas,,"#gotflu,#tylenolandmotrintango,#beingsickisnofun,#chickennoodlesoup,#flu,#4hourslater,#mmmmmmmgood",0,0,0,0,-,0,2020-01-17 19:01:55,,
1217311041710936064,@JCrongeyer She's got a cold. #GotFlu?,https://x.com/Politicalphuque/status/1217311041710936064,tweet,Political Phuquery🇺🇸🦅,@Politicalphuque,Hell,@JCrongeyer,#GotFlu,0,0,0,0,-,0,2020-01-14 21:02:23,,
